feature,coefficient,abs_coefficient
emb_67,-0.1882456959722341,0.1882456959722341
emb_26,0.1871407070963721,0.1871407070963721
emb_14,-0.1853975207757622,0.1853975207757622
emb_113,0.18411522948364395,0.18411522948364395
emb_147,-0.18250069122601587,0.18250069122601587
emb_12,0.17880392201656328,0.17880392201656328
emb_159,-0.17668495513763954,0.17668495513763954
emb_502,0.17595187613775595,0.17595187613775595
emb_223,-0.16557247909789205,0.16557247909789205
emb_127,0.1641298088634035,0.1641298088634035
emb_58,0.16111020085523917,0.16111020085523917
emb_492,-0.15961872459611262,0.15961872459611262
emb_497,0.1569166125928622,0.1569166125928622
emb_39,-0.1554826796450984,0.1554826796450984
emb_256,-0.1544115890585005,0.1544115890585005
emb_485,-0.15272628944232072,0.15272628944232072
emb_344,0.14974868281759496,0.14974868281759496
emb_468,0.14973824718582462,0.14973824718582462
emb_263,0.1469253166142549,0.1469253166142549
emb_255,-0.14355766506136086,0.14355766506136086
emb_249,-0.14126379349334303,0.14126379349334303
emb_341,0.13812443927169366,0.13812443927169366
emb_38,0.1373387532383362,0.1373387532383362
emb_490,0.1372146286717946,0.1372146286717946
emb_69,-0.13643534180635689,0.13643534180635689
emb_239,0.13097805405816174,0.13097805405816174
emb_2,-0.12936469647499843,0.12936469647499843
emb_391,0.12884815624531368,0.12884815624531368
emb_313,0.12759372947663478,0.12759372947663478
emb_74,0.12607438830609774,0.12607438830609774
emb_31,0.1257807029343151,0.1257807029343151
emb_427,-0.12296814581434645,0.12296814581434645
emb_506,-0.12239061170351971,0.12239061170351971
emb_183,0.12228007213667587,0.12228007213667587
emb_85,0.1159126035891667,0.1159126035891667
emb_182,0.1142048118676902,0.1142048118676902
emb_417,0.11345670485173227,0.11345670485173227
emb_360,0.11223356863377873,0.11223356863377873
emb_229,0.11219165552778941,0.11219165552778941
emb_112,0.11145978926381199,0.11145978926381199
emb_318,0.10948088647149931,0.10948088647149931
emb_6,0.10593795331833387,0.10593795331833387
emb_276,-0.10478602704345104,0.10478602704345104
emb_4,0.10478429595624945,0.10478429595624945
emb_296,-0.10369108225767079,0.10369108225767079
emb_439,0.10181542639833795,0.10181542639833795
emb_367,0.10004438706875043,0.10004438706875043
emb_136,-0.09625631726511276,0.09625631726511276
emb_130,-0.0948691212176072,0.0948691212176072
emb_247,-0.0940515913746158,0.0940515913746158
emb_73,0.09353592898641275,0.09353592898641275
emb_365,-0.09093327880215905,0.09093327880215905
emb_234,-0.090431263358623,0.090431263358623
emb_150,0.09020518668277117,0.09020518668277117
emb_424,-0.08969002761741546,0.08969002761741546
emb_8,-0.08898323107955403,0.08898323107955403
emb_162,0.08444363739120414,0.08444363739120414
emb_97,0.08005387318714649,0.08005387318714649
emb_154,0.07945857743841028,0.07945857743841028
emb_396,0.0786055636159874,0.0786055636159874
emb_230,0.0772255200010031,0.0772255200010031
emb_291,0.07564778444555176,0.07564778444555176
emb_440,-0.07212567213944139,0.07212567213944139
emb_10,-0.07088257472973303,0.07088257472973303
emb_17,0.06884782749332137,0.06884782749332137
emb_434,-0.06661294933256709,0.06661294933256709
emb_119,-0.06657940574782369,0.06657940574782369
emb_115,0.0655019454720198,0.0655019454720198
emb_28,-0.06507629117222484,0.06507629117222484
emb_126,-0.06423767624695922,0.06423767624695922
emb_253,-0.06272498326090391,0.06272498326090391
emb_406,0.06230707156076037,0.06230707156076037
emb_309,-0.06031983529195861,0.06031983529195861
emb_384,0.05941115466032434,0.05941115466032434
emb_310,0.059234838435099184,0.059234838435099184
emb_300,-0.05555581327666173,0.05555581327666173
emb_426,0.05404624504894977,0.05404624504894977
emb_70,0.05282810579811506,0.05282810579811506
emb_9,-0.0516665162218774,0.0516665162218774
emb_459,0.051510996193680554,0.051510996193680554
emb_321,0.04871091584411736,0.04871091584411736
emb_463,-0.04318341682848796,0.04318341682848796
emb_267,0.04307902372277817,0.04307902372277817
emb_146,-0.04222446969550701,0.04222446969550701
emb_280,-0.03904792160773649,0.03904792160773649
emb_143,-0.03517313862091469,0.03517313862091469
emb_409,0.03487156288605933,0.03487156288605933
emb_45,0.034285254159514146,0.034285254159514146
emb_125,-0.029427955220515865,0.029427955220515865
emb_173,0.0293738872937461,0.0293738872937461
emb_415,-0.02883179929374203,0.02883179929374203
emb_355,-0.025422100228719605,0.025422100228719605
emb_373,0.024578571995455607,0.024578571995455607
emb_63,-0.024305071698788497,0.024305071698788497
emb_457,-0.023829585280144092,0.023829585280144092
emb_292,0.023591015208493424,0.023591015208493424
emb_332,0.019591002233690438,0.019591002233690438
emb_233,0.01858965270036022,0.01858965270036022
emb_42,0.01831694105027724,0.01831694105027724
emb_400,0.01613909052973686,0.01613909052973686
emb_140,0.01577754636470323,0.01577754636470323
emb_164,0.014247746182443411,0.014247746182443411
emb_302,0.013741698067060859,0.013741698067060859
emb_75,-0.012251504244488702,0.012251504244488702
emb_152,-0.009662708703714539,0.009662708703714539
emb_19,-0.008209830388215924,0.008209830388215924
emb_343,0.0075215591419906845,0.0075215591419906845
emb_219,-0.006660682613151173,0.006660682613151173
emb_15,0.006365975492017828,0.006365975492017828
emb_443,0.006111431115402681,0.006111431115402681
emb_99,-0.006088510318244125,0.006088510318244125
emb_79,-0.00455692533601074,0.00455692533601074
emb_139,0.004497213126472908,0.004497213126472908
emb_88,-0.003562918046720048,0.003562918046720048
